SKU,Nombre,Medidas,Inventario,Imágenes
74109,Barça Toons Bojan,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,184,https://tartarizados.com/wp-content/uploads/2023/02/5B741095D20Barca20Toons20Bojan.jpg
12485,Blancanieves *Bruja*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,22,https://tartarizados.com/wp-content/uploads/2023/02/5B124855D20Blancanieves20Bruja-1.jpg
12479,Blancanieves *Enanito Azadón*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,36,https://tartarizados.com/wp-content/uploads/2023/02/5B124795D20Blancanieves20Enanito20Azadon-1.jpg
12476,Blancanieves *Enanito Farol*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,35,https://tartarizados.com/wp-content/uploads/2023/02/5B124765D20Blancanieves20Enanito20Farol-1.jpg
12480,Blancanieves *Enanito Flor*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,21,https://tartarizados.com/wp-content/uploads/2023/02/5B124805D20Blancanieves20Enanito20Flor-1.jpg
12478,Blancanieves *Enanito Pala*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,18,https://tartarizados.com/wp-content/uploads/2023/02/5B124785D20Blancanieves20Enanito20Pala-1.jpg
12477,Blancanieves *Enanito Pico*,Ancho(mm): 0 Alto(mm): 70 Fondo(mm): 0 Capacidad(ml): 0 Diámetro(mm): 0 Unidad de medida: 1 u.,23,https://tartarizados.com/wp-content/uploads/2023/02/5B124775D20Blancanieves20Enanito20Pico-1.jpg
12481,Blancanieves *Enanito Regadera*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,25,https://tartarizados.com/wp-content/uploads/2023/02/5B124815D20Blancanieves20Enanito20Regadera-1.jpg
12555,Blancanieves *Reina*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,29,https://tartarizados.com/wp-content/uploads/2023/02/5B125555D20Blancanieves20Reina-1.jpg
12482,Blancanieves *Tontín*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,22,https://tartarizados.com/wp-content/uploads/2023/02/5B124825D20Blancanieves20Tontin-1.jpg
